"","span","component","value"
"1",0.1,"Biais2",0.000442445522084942
"2",0.1,"Variance",0.0389031853517035
"3",0.1,"MSE",0.0393456308737884
"4",0.15,"Biais2",0.000224885595429591
"5",0.15,"Variance",0.0213877927146832
"6",0.15,"MSE",0.0216126783101128
"7",0.2,"Biais2",0.000177820455548598
"8",0.2,"Variance",0.0149842869283755
"9",0.2,"MSE",0.0151621073839241
"10",0.25,"Biais2",9.14534517020161e-05
"11",0.25,"Variance",0.0118641859212006
"12",0.25,"MSE",0.0119556393729026
"13",0.3,"Biais2",8.52252348248381e-05
"14",0.3,"Variance",0.00923156577812788
"15",0.3,"MSE",0.00931679101295272
"16",0.35,"Biais2",7.98915011686171e-05
"17",0.35,"Variance",0.00799324868291365
"18",0.35,"MSE",0.00807314018408227
"19",0.4,"Biais2",0.000169551555730983
"20",0.4,"Variance",0.00661032026920446
"21",0.4,"MSE",0.00677987182493544
"22",0.45,"Biais2",0.000120045155715689
"23",0.45,"Variance",0.00641322979438864
"24",0.45,"MSE",0.00653327495010433
"25",0.5,"Biais2",0.000335759622929305
"26",0.5,"Variance",0.00575282712615938
"27",0.5,"MSE",0.00608858674908869
"28",0.55,"Biais2",0.000428322752615658
"29",0.55,"Variance",0.00423544648666862
"30",0.55,"MSE",0.00466376923928428
"31",0.6,"Biais2",0.000654280776072272
"32",0.6,"Variance",0.00437496659757775
"33",0.6,"MSE",0.00502924737365002
"34",0.65,"Biais2",0.00079214096572269
"35",0.65,"Variance",0.00421485017865978
"36",0.65,"MSE",0.00500699114438247
"37",0.7,"Biais2",0.00100968844040908
"38",0.7,"Variance",0.00388781580925399
"39",0.7,"MSE",0.00489750424966307
"40",0.75,"Biais2",0.00141188303517979
"41",0.75,"Variance",0.00369935510360261
"42",0.75,"MSE",0.00511123813878239
"43",0.8,"Biais2",0.00180697311510225
"44",0.8,"Variance",0.00328227818812991
"45",0.8,"MSE",0.00508925130323216
"46",0.85,"Biais2",0.00246330591644377
"47",0.85,"Variance",0.00284879160620272
"48",0.85,"MSE",0.00531209752264649
"49",0.9,"Biais2",0.00245604070824823
"50",0.9,"Variance",0.00319075699099527
"51",0.9,"MSE",0.0056467976992435
"52",0.95,"Biais2",0.00370151874487078
"53",0.95,"Variance",0.00319593144944835
"54",0.95,"MSE",0.00689745019431913
"55",1,"Biais2",0.0050076921844578
"56",1,"Variance",0.00292757406413999
"57",1,"MSE",0.00793526624859779
